#,Taxonomy,Class,Template Name,File Folder,Filename,Image,Tag,Mask,Resolution,Top,Left,Width,Height,Points,Text Annotation,Minimal Top,Minimal Left,Minimal Width,Minimal Height,Attributes
1,,"COVID-19 Airways","Airways",,"X-ray_of_cyst_in_pneumocystis_pneumonia_1.jpg",images/0fc7f55c1dac1528b4459ef3adbae236acab1fee.jpg,tags/0fc7f55c1dac1528b4459ef3adbae236acab1fee_esxKLGtPyD5km63b6.png,masks/0fc7f55c1dac1528b4459ef3adbae236acab1fee_esxKLGtPyD5km63b6.png,943x751,0,336,295,410,,"undefined",0,336,295,410,
2,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"X-ray_of_cyst_in_pneumocystis_pneumonia_1.jpg",images/0fc7f55c1dac1528b4459ef3adbae236acab1fee.jpg,tags/0fc7f55c1dac1528b4459ef3adbae236acab1fee_DHzZW568Bd5aS2cHi.png,masks/0fc7f55c1dac1528b4459ef3adbae236acab1fee_DHzZW568Bd5aS2cHi.png,943x751,200,299,506,532,,"undefined",200,299,506,532,
3,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"X-ray_of_cyst_in_pneumocystis_pneumonia_1.jpg",images/0fc7f55c1dac1528b4459ef3adbae236acab1fee.jpg,tags/0fc7f55c1dac1528b4459ef3adbae236acab1fee_QKEMjEaCZDdAipPna.png,masks/0fc7f55c1dac1528b4459ef3adbae236acab1fee_QKEMjEaCZDdAipPna.png,943x751,38,47,851,627,,"undefined",38,47,851,627,
4,,"COVID-19 Right Lung","Right Lung",,"X-ray_of_cyst_in_pneumocystis_pneumonia_1.jpg",images/0fc7f55c1dac1528b4459ef3adbae236acab1fee.jpg,tags/0fc7f55c1dac1528b4459ef3adbae236acab1fee_fNkxZuvnwHQbFG28Y.png,masks/0fc7f55c1dac1528b4459ef3adbae236acab1fee_fNkxZuvnwHQbFG28Y.png,943x751,21,37,400,657,,"undefined",21,37,400,657,
5,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"X-ray_of_cyst_in_pneumocystis_pneumonia_1.jpg",images/0fc7f55c1dac1528b4459ef3adbae236acab1fee.jpg,tags/0fc7f55c1dac1528b4459ef3adbae236acab1fee_edEmKNMQTfyXraNNy.png,masks/0fc7f55c1dac1528b4459ef3adbae236acab1fee_edEmKNMQTfyXraNNy.png,943x751,0,516,389,751,,"undefined",0,516,389,751,
6,,"COVID-19 Airways","Airways",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_H26mP5P9aZDdYibeC.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_H26mP5P9aZDdYibeC.png,1800x1779,0,654,461,969,,"undefined",0,654,461,969,
7,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_YstqpGgFvANXfgg9d.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_YstqpGgFvANXfgg9d.png,1800x1779,483,584,821,1167,,"undefined",483,584,821,1167,
8,,"COVID-19 Consolidation","Consolidation",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_cJRB5Jq9tGMQs5xG9.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_cJRB5Jq9tGMQs5xG9.png,1800x1779,268,113,1626,912,,"undefined",268,113,1626,912,
9,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_NvLrXQsgvu8MJk2gW.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_NvLrXQsgvu8MJk2gW.png,1800x1779,268,127,1592,1320,,"undefined",268,127,1592,1320,
10,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg",images/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0.jpg,tags/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_ypayM4MniB4Gdip6X.png,masks/aa12e4dce6c7a9449c1aee41f39ff329fd6a87f0_ypayM4MniB4Gdip6X.png,1800x1779,109,1042,678,1536,,"undefined",109,1042,678,1536,
